Star ,IRAS name ,Spectral type ,Date ,Standard ,F12 (Jy) ,Dist (kpc) ,Bsil ,M_dot(M/yr) ,l_peak (mm) ,FWHM (mm) ,LogL
IRC 20 449 ,18107 1914 ,M2.0Ib ,16,h Sgr ,7.7 ,3.5 ,0.4 ,<1.1e-7 ,-- ,-- ,4.4
IRC 20 565 ,19272 1929 ,M2Ib ,17,g Aql ,14,2.5 ,9.6 ,2.8e-6 ,9.9 ,2.4 ,4.4
BD 25 4097 ,20037 2527 ,M3 Ib ,16,g Aql ,13,0.4 ,0.7 ,1.7e-9 ,10.4 ,3.4 ,4.4
HR 8164 ,21178 5824 ,M1.1Ib ,17,b Peg ,24,1.0 ,0.5 ,<2.7e-8 ,-- ,-- ,4.4
HR 8726 ,22542 4927 ,K5.8Ib ,17,b Peg ,25,0.6 ,0.5 ,<9.9e-9 ,-- ,-- ,4.4
V466 Cas ,01167 5802 ,M1.1Ib ,17,b Peg ,2.9 ,2.5 ,0.6 ,1.2e-8 ,-- ,-- ,4.4
V595 Cas ,01397 5615 ,M3.7Ib ,16,b And ,4.7 ,2.8 ,0.0 ,<4.4e-8 ,-- ,-- ,4.4
BD 47 485 ,01400 4815 ,M2Ib ,16,b And ,12,1.5 ,0.9 ,3.3e-8 ,10.3 ,3.4 ,4.4
BD 58 342 ,01550 5901 ,M2.4Ib ,16,b And ,8.9 ,2.3 ,0.0 ,<5.7e-8 ,11.0 ,3.2 ,4.4
HD 236947 ,02036 5832 ,M0.6Ib ,17,b Peg ,3.9 ,2.3 ,0.3 ,<2.5e-8 ,-- ,-- ,4.4
BD 43 1131 ,04524 4324 ,M2Ib ,17,b Peg ,7.0 ,0.3 ,0.2 ,<7.6e-10 ,-- ,-- ,4.4
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
IRC 20 429 ,18045 1918 ,M2Iab Ib ,16,h Sgr ,6.0 ,1.5 ,0.6 ,5.4e-9 ,10.6 ,2.8 ,
EIC 685 ,18336 0855 ,M3.5(I) ,17,g Aql ,4.2 ,4.6 ,1.8 ,<1.1e-7 ,-- ,-- ,
NS Vul ,19503 2219 ,M2:(I) B ,17,« Cyg ,278,0.6 ,4.8 ,1.2e-6 ,9.5 ,2.9 ,
IRC 40 427 ,20296 4028 ,M0--2I ,16,« Cyg ,13,2.0 ,0.3 ,<6.3e-8 ,11.2 ,2.8 ,
NML Cyg ,20445 3956 ,M6 ,7/10/92 ,b Peg ,-- ,2.0 ,(abs) ,-- ,-- ,-- ,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HD 163428 ,17540 2356 ,M0.6Iab ,16,h Sgr ,15,1.6 ,0.1 ,<4.5e-8 ,-- ,-- ,5.1
FR Sct ,18205 1242 ,M2.2Iab ,17,g Aql ,10,2.6 ,1.8 ,<8.2e-8 ,-- ,-- ,5.1
V492 Aql ,18569 0518 ,M1.1Iab ,17,g Aql ,12,2.3 ,1.1 ,<7.8e-8 ,-- ,-- ,5.1
V340 Sge ,19371 1627 ,K5.5Iab ,16,g Aql ,12,1.1 ,0.4 ,<1.7e-8 ,-- ,-- ,5.1
V637 Cas ,02531 5721 ,M2.2Iab ,16,b And ,12,1.9 ,0.4 ,<5.1e-8 ,-- ,-- ,5.1
HD 166105 ,18068 1517 ,M1Iab ,16,g Aql ,13,2.0 ,0.5 ,<6.3e-8 ,-- ,-- ,5.1
HR 6693 ,17558 3014 ,M1.2Ib ,17,h Sgr ,26,0.7 ,0.4 ,<1.5e-8 ,-- ,-- ,4.4
IRC 20 449 ,18107 1914 ,M2.0Ib ,16,h Sgr ,7.7 ,3.5 ,0.4 ,<1.1e-7 ,-- ,-- ,4.4
HR 8164 ,21178 5824 ,M1.1Ib ,17,b Peg ,24,1.0 ,0.5 ,<2.7e-8 ,-- ,-- ,4.4
HR 8726 ,22542 4927 ,K5.8Ib ,17,b Peg ,25,0.6 ,0.5 ,<9.9e-9 ,-- ,-- ,4.4
V595 Cas ,01397 5615 ,M3.7Ib ,16,b And ,4.7 ,2.8 ,0.0 ,<4.4e-8 ,-- ,-- ,4.4
BD 58 342 ,01550 5901 ,M2.4Ib ,16,b And ,8.9 ,2.3 ,0.0 ,<5.7e-8 ,11.0 ,3.2 ,4.4
HD 236947 ,02036 5832 ,M0.6Ib ,17,b Peg ,3.9 ,2.3 ,0.3 ,<2.5e-8 ,-- ,-- ,4.4
BD 43 1131 ,04524 4324 ,M2Ib ,17,b Peg ,7.0 ,0.3 ,0.2 ,<7.6e-10 ,-- ,-- ,4.4
